gen,name,GO,description,meta
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0016020,membrane,C
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0043085,positive regulation of catalytic activity,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0019252,starch biosynthetic process,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0010114,response to red light,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0030003,cellular cation homeostasis,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0010207,photosystem II assembly,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0005983,starch catabolic process,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0005986,sucrose biosynthetic process,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0009902,chloroplast relocation,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0000023,maltose metabolic process,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0006000,fructose metabolic process,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0042742,defense response to bacterium,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0030388,"fructose 1,6-bisphosphate metabolic process",P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0015995,chlorophyll biosynthetic process,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0009773,photosynthetic electron transport in photosystem I,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0005829,cytosol,C
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0042132,"fructose 1,6-bisphosphate 1-phosphatase activity",F
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0009570,chloroplast stroma,C
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0009637,response to blue light,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0070838,divalent metal ion transport,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0009409,response to cold,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0009737,response to abscisic acid stimulus,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0005634,nucleus,C
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0006364,rRNA processing,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0010027,thylakoid membrane organization,P
Locus_478_Transcript_90_Length_3905_genewise_newlength_3876__CDS__2638__3435,fructose- -bisphosphatase,GO:0005739,mitochondrion,C
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0019199,transmembrane receptor protein kinase activity,F
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0034613,cellular protein localization,P
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0005773,vacuole,C
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0005829,cytosol,C
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0046777,protein autophosphorylation,P
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0004674,protein serine/threonine kinase activity,F
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0031625,ubiquitin protein ligase binding,F
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0050794,regulation of cellular process,P
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0009506,plasmodesma,C
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0006950,response to stress,P
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0005886,plasma membrane,C
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0005634,nucleus,C
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0005524,ATP binding,F
Locus_10116_Transcript_2_Length_2733_genewise_newlength_2462__CDS__12__2462,g-type lectin s-receptor-like serine threonine-protein kinase,GO:0048544,recognition of pollen,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0005515,protein binding,F
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0009740,gibberellic acid mediated signaling pathway,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0009910,negative regulation of flower development,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0009407,toxin catabolic process,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0048446,petal morphogenesis,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0005730,nucleolus,C
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0044212,transcription regulatory region DNA binding,F
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0009965,leaf morphogenesis,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0048527,lateral root development,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0009790,embryo development,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0030154,cell differentiation,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0009416,response to light stimulus,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0003700,sequence-specific DNA binding transcription factor activity,F
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0010187,negative regulation of seed germination,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0045893,"positive regulation of transcription, DNA-dependent",P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0010255,glucose mediated signaling pathway,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0010380,regulation of chlorophyll biosynthetic process,P
Locus_1880_Transcript_12_Length_2246_genewise_newlength_2246__CDS__1009__1872,gata transcription factor 11,GO:0007623,circadian rhythm,P
Locus_6077_Transcript_8_Length_3087_genewise_newlength_3087__CDS__239__2356,gc-rich sequence dna-binding factor-like protein with tuftelin interacting domain,GO:0042752,regulation of circadian rhythm,P
Locus_6077_Transcript_8_Length_3087_genewise_newlength_3087__CDS__239__2356,gc-rich sequence dna-binding factor-like protein with tuftelin interacting domain,GO:0000398,"mRNA splicing, via spliceosome",P
Locus_6077_Transcript_8_Length_3087_genewise_newlength_3087__CDS__239__2356,gc-rich sequence dna-binding factor-like protein with tuftelin interacting domain,GO:0031981,nuclear lumen,C
Locus_6077_Transcript_8_Length_3087_genewise_newlength_3087__CDS__239__2356,gc-rich sequence dna-binding factor-like protein with tuftelin interacting domain,GO:0003676,nucleic acid binding,F
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0065008,regulation of biological quality,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0016298,lipase activity,F
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0016049,cell growth,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0071554,cell wall organization or biogenesis,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0016746,"transferase activity, transferring acyl groups",F
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0044767,single-organism developmental process,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0019953,sexual reproduction,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0004091,carboxylesterase activity,F
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0007275,multicellular organismal development,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0009653,anatomical structure morphogenesis,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0016043,cellular component organization,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0019761,glucosinolate biosynthetic process,P
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0048046,apoplast,C
Locus_9243_Transcript_8_Length_1919_genewise_newlength_1349__CDS__209__1069,gdsl esterase lipase,GO:0006629,lipid metabolic process,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0010103,stomatal complex morphogenesis,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0019684,"photosynthesis, light reaction",P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0048046,apoplast,C
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0019853,L-ascorbic acid biosynthetic process,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0009505,plant-type cell wall,C
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0030003,cellular cation homeostasis,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0045491,xylan metabolic process,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0071705,nitrogen compound transport,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0009651,response to salt stress,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0010497,plasmodesmata-mediated intercellular transport,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0006005,L-fucose biosynthetic process,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0042742,defense response to bacterium,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0005737,cytoplasm,C
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0034645,cellular macromolecule biosynthetic process,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0006820,anion transport,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0071702,organic substance transport,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0070838,divalent metal ion transport,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0009409,response to cold,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0050577,GDP-L-fucose synthase activity,F
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0009506,plasmodesma,C
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0050162,oxalate oxidase activity,F
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0005634,nucleus,C
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:2000280,regulation of root development,P
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0031012,extracellular matrix,C
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0030145,manganese ion binding,F
Locus_32_Transcript_10_Length_1636_genewise_newlength_1626__CDS__137__754,germin-like protein 10,GO:0045735,nutrient reservoir activity,F
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0009987,cellular process,P
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0043231,intracellular membrane-bounded organelle,C
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0009506,plasmodesma,C
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0009505,plant-type cell wall,C
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0010015,root morphogenesis,P
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0005576,extracellular region,C
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0031225,anchored to membrane,C
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0080167,response to karrikin,P
Locus_657_Transcript_6_Length_1921_genewise_newlength_1921__CDS__593__1615,germination-related protein,GO:0005886,plasma membrane,C
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0005829,cytosol,C
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0046777,protein autophosphorylation,P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0006333,chromatin assembly or disassembly,P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0009637,response to blue light,P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0010155,regulation of proton transport,P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0009051,"pentose-phosphate shunt, oxidative branch",P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0005515,protein binding,F
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0009570,chloroplast stroma,C
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0004345,glucose-6-phosphate dehydrogenase activity,F
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0015979,photosynthesis,P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0046686,response to cadmium ion,P
Locus_800_Transcript_8_Length_2086_genewise_newlength_2084__CDS__332__1858,glucose-6-phosphate dehydrogenase 5,GO:0050661,NADP binding,F
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0005829,cytosol,C
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0046777,protein autophosphorylation,P
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0009637,response to blue light,P
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0010155,regulation of proton transport,P
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0009051,"pentose-phosphate shunt, oxidative branch",P
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0005515,protein binding,F
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0009570,chloroplast stroma,C
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0004345,glucose-6-phosphate dehydrogenase activity,F
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0015979,photosynthesis,P
Locus_633_Transcript_9_Length_2644_genewise_newlength_2640__CDS__250__1920,glucose-6-phosphate dehydrogenase 5,GO:0046686,response to cadmium ion,P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0005829,cytosol,C
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0046777,protein autophosphorylation,P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0006333,chromatin assembly or disassembly,P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0009637,response to blue light,P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0010155,regulation of proton transport,P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0009051,"pentose-phosphate shunt, oxidative branch",P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0005515,protein binding,F
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0009570,chloroplast stroma,C
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0004345,glucose-6-phosphate dehydrogenase activity,F
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0015979,photosynthesis,P
Locus_4186_Transcript_1_Length_2323_genewise_newlength_2242__CDS__282__1838,glucose-6-phosphate dehydrogenase 5,GO:0046686,response to cadmium ion,P
Locus_6799_Transcript_6_Length_2119_genewise_newlength_2019__CDS__229__1836,glucuronidase 3,GO:0005576,extracellular region,C
Locus_6799_Transcript_6_Length_2119_genewise_newlength_2019__CDS__229__1836,glucuronidase 3,GO:0009505,plant-type cell wall,C
Locus_6799_Transcript_6_Length_2119_genewise_newlength_2019__CDS__229__1836,glucuronidase 3,GO:0004566,beta-glucuronidase activity,F
Locus_6799_Transcript_6_Length_2119_genewise_newlength_2019__CDS__229__1836,glucuronidase 3,GO:0009826,unidimensional cell growth,P
Locus_6799_Transcript_6_Length_2119_genewise_newlength_2019__CDS__229__1836,glucuronidase 3,GO:0016020,membrane,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009750,response to fructose stimulus,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0010155,regulation of proton transport,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006098,pentose-phosphate shunt,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009749,response to glucose stimulus,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0010218,response to far red light,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009941,chloroplast envelope,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0042744,hydrogen peroxide catabolic process,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0048046,apoplast,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009744,response to sucrose stimulus,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0005515,protein binding,F
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006833,water transport,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0005773,vacuole,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0022626,cytosolic ribosome,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0010114,response to red light,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0030003,cellular cation homeostasis,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006816,calcium ion transport,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009651,response to salt stress,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0042128,nitrate assimilation,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006542,glutamine biosynthetic process,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0005618,cell wall,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009698,phenylpropanoid metabolic process,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006972,hyperosmotic response,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0007030,Golgi organization,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006096,glycolysis,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009570,chloroplast stroma,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009637,response to blue light,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0006598,polyamine catabolic process,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0042398,cellular modified amino acid biosynthetic process,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009644,response to high light intensity,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0010150,leaf senescence,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0046686,response to cadmium ion,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0004356,glutamate-ammonia ligase activity,F
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009409,response to cold,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0019344,cysteine biosynthetic process,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009506,plasmodesma,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0019676,ammonia assimilation cycle,P
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0009535,chloroplast thylakoid membrane,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0005886,plasma membrane,C
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0005507,copper ion binding,F
Locus_24240_Transcript_24_Length_1500_genewise_newlength_1484__CDS__317__1123,glutamine synthetase 2,GO:0005739,mitochondrion,C
